line_no,N,M_stored,M_pari,K_stored,K_pari,U_stored,U_pari,Q_stored,Q_pari,R_stored,R_pari,irreducible,max_off_circle,ok_irr,ok_M,ok_KUQR
124,22,1.259433606774280590103734419310159560780107238106299766041586424130296100,1.25943360677428059010373441931015956078010723810629976604159,2,2,18,18,4,4,0,0,1,0.122244896078516629804110758973932453892391672370773262972438,1,1,1
125,22,1.260283958936841488680841205183200263268273144064576427850821963754280863,1.26028395893684148868084120518320026326827314406457642785082,3,3,16,16,4,4,2,2,1,0.165438774665642119007854567058782448059322009384842147705679,1,1,1
126,22,1.260284236896492963739228435283866365638551287842634180725403343395901937,1.26028423689649296373922843528386636563855128784263418072540,1,1,20,20,0,0,2,2,1,0.260284236896492963739228435283866365638551287842634180725403,1,1,1
127,22,1.261526266068835380928894921222264169161708516486558499057265218097635275,1.26152626606883538092889492122226416916170851648655849905727,3,3,16,16,4,4,2,2,1,0.0908806626476200010568471364731689319108357179688552534223358,1,1,1
128,22,1.262460975914833795816343014711827680808259484151759082624791327290992535,1.26246097591483379581634301471182768080825948415175908262479,3,3,16,16,4,4,2,2,1,0.0869020262854553850640955799404176054798610291708393285304166,1,1,1
129,22,1.264051196101763578139894717566400936648784455220708922369701939216996202,1.26405119610176357813989471756640093664878445522070892236970,3,3,16,16,4,4,2,2,1,0.0917762848757778722862213061373749211777320995457008841352079,1,1,1
130,22,1.270231008663975272931261465479743404918596267582246486868127090487305544,1.27023100866397527293126146547974340491859626758224648686813,3,3,16,16,4,4,2,2,1,0.0946555083179133563677051360035432725866801161599514325515317,1,1,1
131,22,1.270616018980563868599949222671597930740601090590431090376664119635461346,1.27061601898056386859994922267159793074060109059043109037666,3,3,16,16,4,4,2,2,1,0.0925214714342788945175279407823609745893942927363295778263039,1,1,1
132,22,1.272433437809121543670062494541162154094923825435765267199275600226307168,1.27243343780912154367006249454116215409492382543576526719928,3,3,16,16,4,4,2,2,1,0.167134002619865688459679700267241265927012792870846305628961,1,1,1
133,22,1.272557587236147607971953492018298467566377555390454708042859814230047238,1.27255758723614760797195349201829846756637755539045470804286,2,2,18,18,4,4,0,0,1,0.128076942072723870978059903740264980979523155434473758739852,1,1,1
134,22,1.272935781546691110121682635668114224238036215194050097938770030856643424,1.27293578154669111012168263566811422423803621519405009793877,3,3,16,16,4,4,2,2,1,0.0992324344138234902428583492356010280718131292039361746882571,1,1,1
135,22,1.273310275572361150098988365416793197507467065223483372506011096764101907,1.27331027557236115009898836541679319750746706522348337250601,2,2,18,18,4,4,0,0,1,0.128410508446443505602163606279729943015977641032684842701715,1,1,1
136,22,1.275872162254560653810172318821201275078044145777739603850927969112302918,1.27587216225456065381017231882120127507804414577773960385093,3,3,16,16,4,4,2,2,1,0.0974126820834504922419850086365165338452389741835057169391332,1,1,1
137,22,1.276284296398448561293657126809717756314781423246203243099459053407955124,1.27628429639844856129365712680971775631478142324620324309946,3,3,16,16,4,4,2,2,1,0.0917387022455814775466793832199320227137960675964814917828069,1,1,1
138,22,1.276779674019016861136497157605067169395425247666261436185614595924285533,1.27677967401901686113649715760506716939542524766626143618561,1,1,20,20,0,0,2,2,1,0.276779674019016861136497157605067169395425247666261436185615,1,1,1
139,22,1.277380143640697068918616482625492627700317965366379936055397094964326392,1.27738014364069706891861648262549262770031796536637993605540,2,2,18,18,4,4,0,0,1,0.130212432970323092312742131980959460282081283545491677769954,1,1,1
140,22,1.277572123045217581109840964258731055960378707814130720383036929048902268,1.27757212304521758110984096425873105596037870781413072038304,2,2,18,18,4,4,0,0,1,0.130297360452203117994256531013663325342926222411726412913523,1,1,1
141,22,1.280267454300464233824634756640767733874591389088786776159440189560362688,1.28026745430046423382463475664076773387459138908878677615944,3,3,16,16,4,4,2,2,1,0.100222361375460787527355473591015672060498993768726597161329,1,1,1
142,22,1.283326411512125639277296771022893760602147121187736173310336339504077268,1.28332641151212563927729677102289376060214712118773617331034,3,3,16,16,4,4,2,2,1,0.132908722639795433118011911459020053125565558017609776741124,1,1,1
143,22,1.283410490448267352032302667637973989008015387887528600376270784954774151,1.28341049044826735203230266763797398900801538788752860037627,3,3,16,16,4,4,2,2,1,0.101343972207097362719130081315943260235492489855375892541798,1,1,1
144,22,1.283926281328630679040199245323855549111124225353597872861441771567112007,1.28392628132863067904019924532385554911112422535359787286144,4,4,14,14,8,8,0,0,1,0.0936145514632367923773861631787534225212517676884361778550079,1,1,1
145,22,1.283960069702745684461187398534804735007647516585505911942236804255980378,1.28396006970274568446118739853480473500764751658550591194224,3,3,16,16,4,4,2,2,1,0.134325480859224155363511362046057738277371327685249637115882,1,1,1
146,22,1.284066283371830095804609717287542727784623969646352014550433332950115988,1.28406628337183009580460971728754272778462396964635201455043,3,3,16,16,4,4,2,2,1,0.100057261160154519673884844071550301162649955351448979521246,1,1,1
147,22,1.284829254718091731191264321651862188766513610759672273056435412967426758,1.28482925471809173119126432165186218876651361075967227305644,3,3,16,16,4,4,2,2,1,0.155209257632969637776143710838844972611978601948581867467834,1,1,1
148,22,1.284897491463748666722026797716452879037817795581625058446743020147442583,1.28489749146374866672202679771645287903781779558162505844674,4,4,14,14,8,8,0,0,1,0.0748379667417703271231557933777132746316666137866483428439574,1,1,1
149,22,1.285465569281827323894639145969306947124498867795447138888232680816584773,1.28546556928182732389463914596930694712449886779544713888823,4,4,14,14,8,8,0,0,1,0.0662175854135468137169626544995782378558261189098960500303097,1,1,1
