N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
216,1.31113720195256848541451578575429484241651579651458323773166687506733374609224519037002270562239418194126668971033800587,5.570316e-02,4.148288e-03,33,150,64,2
218,1.31014782181292081217321508192328015963647791701989527028039996077681204689350983848509843196656072704804651384481580357,5.471378e-02,9.893801e-04,34,150,68,0
220,1.30664769513753744491455487519425835683461151893144446441731619435753134359091238536163491666385544406615397602915808435,5.121366e-02,3.500127e-03,31,158,60,2
222,1.31185446151502830596828564030407610377874916361794212763743146721524550497686324885489261114977054256512305357437933179,5.642042e-02,5.206766e-03,34,154,68,0
224,1.30825153083865959237093738711906965735351926376147558712105714141642083344199796824479939140497240973360972062477027478,5.281749e-02,3.602931e-03,33,158,64,2
226,1.30977280154059051576681748006856556126104281653796950258306708125910436906127117186509873555301366290881703744034246261,5.433876e-02,1.521271e-03,34,158,68,0
228,1.30632758931858671052141977729704038433001097584265026449312063811360614928516643802123356630500942099336680240959961639,5.089355e-02,3.445212e-03,33,162,64,2
230,1.31063770783964578537926550445305954392740385282026442198196754457844883339918550581546955187493233950903655509463675133,5.520367e-02,4.310119e-03,34,162,68,0
232,1.30427238150530418188785714301174639379140528389049547240750594459736584987685349068228736242143981699992683453901021634,4.883834e-02,6.365326e-03,33,166,64,2
234,1.31115940540670721241490169872680616217129387702906888989054781653216485660620219200666719673404462075795398856523123595,5.572537e-02,6.887024e-03,36,162,72,0
236,1.30842562824540734744816793021298514295299423406119898039311786656483611171333759533335541040984782658867070935257214703,5.299159e-02,2.733777e-03,35,166,68,2
238,1.30775743752538594695703521063491423524993268275322604063781967691662643050377134611139192742281836390313035417278666980,5.232340e-02,6.681907e-04,34,170,68,0
240,1.31154789651168954690723451204802541325819071750001162914845404152632553147033155498188056959455446654588901643333159348,5.611386e-02,3.790459e-03,37,166,72,2
242,1.30886974830148348279095699096778455355505590792371190815035801693842735927811517498832722524809162476961823926498203890,5.343571e-02,2.678148e-03,36,170,72,0
244,1.30853365668630262872483208520540500946197427195917529705204790295579592041223761379186991030989846305665936923939669593,5.309962e-02,3.360916e-04,37,170,72,2
246,1.30761191011372448559964181014809785920816300624299340260105531893267645119540149567221004053406584430277075547420768586,5.217787e-02,9.217466e-04,36,174,72,0
248,1.31089674134905638673090656811821687459257086840577080951963556678357631366029418521222054329636852338604454247118610569,5.546270e-02,3.284831e-03,37,174,72,2
250,1.30549879082128470295262627491057590830675775390432906274598756518503188288281630298947841980374503492879424207041725312,5.006475e-02,5.397951e-03,36,178,72,0
252,1.31080303512090075987925716018673501949028041174894358373602442851215678417822158085804378975011128920906380790728958832,5.536900e-02,5.304244e-03,39,174,76,2
254,1.30772001469002263138607769090592301855554344997390664423886945416770352150731806990005909494064818923972576508999938834,5.228598e-02,3.083020e-03,38,178,76,0
256,1.30854601357956160161709100386296352255903199353250322424395924979249646062122312236775834440124311600091875816364597759,5.311198e-02,8.259989e-04,37,182,72,2
258,1.31103856329755169046728890186933640622790293627661608659169065895278063242435484851732823026293776337197717996896463904,5.560453e-02,2.492550e-03,40,178,80,0
260,1.30913607768041225071669132509151278159300552541973531150428666021448562668517059969205135599143041171699473799727434668,5.370204e-02,1.902486e-03,39,182,76,2
262,1.30863706190711213047803207128563047449297157293416054198977222947746140182042642565537539263036963032231450492624758374,5.320302e-02,4.990158e-04,38,186,76,0
264,1.30856396697022286070893177883419457649672161682767979359363689350372880787334694208964300335038523004276528332200283667,5.312993e-02,7.309494e-05,39,186,76,2
266,1.31095954524338932194929113042864606775853116287824881581506443539673942003928321039727579778760416513511057622158229329,5.552551e-02,2.395578e-03,40,186,80,0
268,1.30633408634642087507763002016885503736087886734238175661595345660589371298542059773254999069908351188339071635886221733,5.090005e-02,4.625459e-03,39,190,76,2
270,1.30996645059949372200623820309291847316524692282468343029208994305024358239035711820730575885501602367075886777822814223,5.453241e-02,3.632364e-03,40,190,80,0
272,1.30588483714178351035624787070577584628347560632392196888546276303905575321615997642325045222682632247154360477263777578,5.045080e-02,4.081613e-03,39,194,76,2
274,1.30908253504152548540671554409522637640926710722019114734603158730309471895330713487093757061875088473267685291795237302,5.364850e-02,3.197698e-03,40,194,80,0
276,1.31027199451945229111865691990323617241172834964191571373988645421064794708371236011147676544072000992597327813532092393,5.483796e-02,1.189459e-03,43,190,84,2
278,1.30879845348190795858176963463222735921170657226768137833552696412072115468143834539863847142600924696045144439493206253,5.336442e-02,1.473541e-03,42,194,84,0
280,1.30881232262035201617938573950661463615845709691364078021728025739114996804706094187898638413977268352218617770014724576,5.337828e-02,1.386914e-05,41,198,80,2
282,1.30925607980070078321620502161205671761129565838755847702794984475229089361504247488669368986153922372515162996089256369,5.382204e-02,4.437572e-04,42,198,84,0
284,1.31085015687510773672966498443637286026774103712625004496328148066978410602201730489648177273441947518366363695703659131,5.541612e-02,1.594077e-03,43,198,84,2
286,1.30676551473047672089905863546114551089485146063561246745736473566333228317595299303142262674460555509963149027185106367,5.133148e-02,4.084642e-03,42,202,84,0
288,1.31034725273245982068448575770676671553744642757302452717377437703108322757010514860301665691786287545799159635691446363,5.491322e-02,3.581738e-03,43,202,84,2
290,1.30693662130074202039979168062257232969752944639017664747795707125154181740966413938010224105603721618856809158876789614,5.150258e-02,3.410631e-03,42,206,84,0
292,1.30941213214105406291495768373536182428569211946720882813656649236238444033512273123586383053794255126390504121880713796,5.397809e-02,2.475511e-03,43,206,84,2
294,1.30900260303897046227915311770775946312567881897132739630174069050413707249395120845192799049866700280667529664661525733,5.356857e-02,4.095291e-04,46,202,92,0
296,1.30891579516103829662335858515460907580554282382002327606746488769391394054178854138500566376093925082035156327054428195,5.348176e-02,8.680788e-05,43,210,84,2
298,1.30877321341185037634241198431805014730119282542198130791507687471977817132553999556151879137138458785005511569268535048,5.333918e-02,1.425817e-04,44,210,88,0
300,1.30973787619984158799828383991268215965878092150882626201627096326365471546757568690042208582106502017451789716359162523,5.430384e-02,9.646628e-04,45,210,88,2
302,1.31056761540816559416208191608606177411581334531772507014839631251503866587090453715036118132809371892464439188926784467,5.513358e-02,8.297392e-04,46,210,92,0
304,1.30655293641555770555838340176043874142331362670097595181001526279537476871780256321840776773798842496463295249816311618,5.111890e-02,4.014679e-03,43,218,84,2
306,1.31056640612746225855681083681111786339265009004782154782843741785083176502046087745237936589943115259864686145578557986,5.513237e-02,4.013470e-03,46,214,92,0
308,1.30774009189526526356655565341248381810930448644581762854170587336813495856125509652201804207444320860057611545957196606,5.230605e-02,2.826314e-03,45,218,88,2
310,1.30955920924011552129556684748094650577110667581567932696310353813960911341086932496157624086438678745355578374404328940,5.412517e-02,1.819117e-03,46,218,92,0
312,1.30685232118170792596399134337795095319319667676144536620730375703682427014669879474464128011060748599882889071270282812,5.141828e-02,2.706888e-03,47,218,92,2
314,1.30944256986835759847962397038697502394971852231501978928384504989107991619695914627383360442991014856359771405077594645,5.400853e-02,2.590249e-03,46,222,92,0
316,1.30848591447621698365486694754155868163747812826291956474093215812213290530266878998420513109238300690103963643292221490,5.305188e-02,9.566554e-04,47,222,92,2
318,1.31004097882147702924224711128772155139924265226186675328874720629545548779025082468850341646457520244848198997159595039,5.460694e-02,1.555064e-03,48,222,96,0
320,1.31005621644742092027429283323863217213455813532018708486442677966560790027005098142265615671585977048108017165380044310,5.462218e-02,1.523763e-05,49,222,96,2
322,1.30739256344110611952199742289948677360527264748388405542778729771570880805607537108403211447751120667382576356056783439,5.195853e-02,2.663653e-03,46,230,92,0
324,1.31064699018397525794545081878867275496668436935413026285202197921325879796584100090465613378626099306272278436983040606,5.521295e-02,3.254427e-03,49,226,96,2
326,1.30833714479721038441060305570364468245622228166748136494242863293755826957735582028451694649609982107400326991606933333,5.290311e-02,2.309845e-03,48,230,96,0
328,1.30952019091743008611929356705095540185622563014869141862709794822394010889636126720207932428383845811176267066395282063,5.408615e-02,1.183046e-03,49,230,96,2
330,1.30712666322626160330658793704961131109551997041362875445513332810081279738093111203042604483134037360255056797112319505,5.169263e-02,2.393528e-03,48,234,96,0
332,1.30981478250154202778896342104990281425684053056873402623367248517216941537430107196976398323638623662928082676282879900,5.438074e-02,2.688119e-03,49,234,96,2
334,1.30774143279609487414832060109087728404554197737026089821119094452794335152855411355079939467783476355394561072675104612,5.230740e-02,2.073350e-03,50,234,100,0
336,1.31017810529649668497679004625756482435455751138435883373981591780396987898284829698737102614322435045189990956455847244,5.474407e-02,2.436673e-03,51,234,100,2
338,1.30892463405545262632411256706488253686220734784362851680602226567452456605742783417238104930143620893359370325391740608,5.349060e-02,1.253471e-03,50,238,100,0
340,1.30804898072395160659525772364466511189534053186941009753325429585996095154756203632445933750122643699423456238843781263,5.261494e-02,8.756533e-04,49,242,96,2
342,1.31060132082046933916424352007420811681704193144191352027465596486039927159077431043123422258108882619660393182797007598,5.516728e-02,2.552340e-03,52,238,104,0
344,1.30875328135283682580406430986954340077656895079326851296902892670981674360486152718404168914561824770543995628580654816,5.331924e-02,1.848039e-03,51,242,100,2
346,1.30919009899304258800955757264134151678202854555906642631415491433279461204102323447787853482921569415539191243529753386,5.375606e-02,4.368176e-04,52,242,104,0
348,1.30788991799922230813608502087696845503259023942590916011669397629262824544739890697032261359823393849886163005643621916,5.245588e-02,1.300181e-03,51,246,100,2
350,1.31005604040077743761933981130164833573160271928509562753780253527108008627999064846950096485445985850021161240770823264,5.462200e-02,2.166122e-03,52,246,104,0
352,1.30666734736079193674639932855986592587264941326218093516391350194633030253728779949816063847734616415463545586276623591,5.123331e-02,3.388693e-03,51,250,100,2
354,1.31012437854154131271432761734647389299350632626992659108673900900313472644235564585349393437916129070564210335526714677,5.469034e-02,3.457031e-03,54,246,108,0
356,1.30873997996980385663048287482578461759441975912654744849681870401134225077897569077700631826703663756782161219007309343,5.330594e-02,1.384399e-03,53,250,104,2
358,1.30855246630275974859787702491587374255845708133998525237151763971672701409730708785176025413718209889569314281671188866,5.311843e-02,1.875137e-04,52,254,104,0
360,1.31042974525335677017321503852767136902910525355331912545668630594699246530352907209268465411815051867649293223252873374,5.499571e-02,1.877279e-03,55,250,108,2
362,1.30899233468476968542952596854546322572586485020547580837243734502789066557090617610962055380906455200367599402397614839,5.355830e-02,1.437411e-03,54,254,108,0
364,1.30877898596099227173154555040354654206450444978385908892318090895564615492826034839084014205606219144064992403814644160,5.334495e-02,2.133487e-04,53,258,104,2
366,1.30849578315239825284131107470517569028916606548294069901297022392797828332494844307189736938795979405947219243141678386,5.306175e-02,2.832028e-04,54,258,108,0
368,1.31018205022525442975749304235896545342962098563214503131433180678836020077122228727181982488447160378051993703623284316,5.474801e-02,1.686267e-03,55,258,108,2
370,1.30718376769493068176416519326376071416194262567554445870645579767161256636090603980501627563802709161226029563166051758,5.174973e-02,2.998283e-03,54,262,108,0
372,1.30946468233356982752317294406939840024853821087544097550316707366509850909438078375302836690779569631918975607217312652,5.403064e-02,2.280915e-03,55,262,108,2
374,1.30811260665013809496355263706160710420372086272426747579191936413386914709573445132516003847003372432262410788419434197,5.267857e-02,1.352076e-03,56,262,112,0
376,1.30892519846888034015366388029635819339640110901535867755693501221255654359966538950413395820632017113313024256332050104,5.349116e-02,8.125918e-04,55,266,108,2
378,1.31011373169953165649705167436268326205677306665893481985424807294702855704916769835984627535206610177067695385880784936,5.467969e-02,1.188533e-03,58,262,116,0
380,1.30898938843470992029258851039800084756864854990172313836794341059367979416035741846970050374452874535037459598741553019,5.355535e-02,1.124343e-03,57,266,112,2
382,1.30894512186127968153877630498940236913167974131862034327444757224521238621865976662380218965780821368045092275215710731,5.351108e-02,4.426657e-05,56,270,112,0
384,1.30896813495479722862589099225105026984591088869230980490786185232850067263660789787591312148922441321656953998426360311,5.353410e-02,2.301309e-05,57,270,112,2
386,1.31020080291153354156435295929878223923300632989979016333866346158212175130512836797035804920868192265935445319107904089,5.476677e-02,1.232668e-03,58,270,116,0
388,1.30750462720556591902883970070771414409247898262101879477027392610382842025797719019296476567664307030006986555249294168,5.207059e-02,2.696176e-03,57,274,112,2
390,1.30976569362999761297321162887040620893953796642943126999990515975465281969871916421134085443664027650801767759446704123,5.433166e-02,2.261066e-03,58,274,116,0
392,1.30744833351753033933331661671109213706013168918734414021009936113921446736257263809733200139587682611866157652097608210,5.201430e-02,2.317360e-03,57,278,112,2
394,1.30918234366640791833910645605309500588830475681856881640533157265237969096665432430212539716129888653592438430084423694,5.374831e-02,1.734010e-03,58,278,116,0
396,1.30958815288566926181047338178788180551929827120008611133391245306557580350290776342441946741128322877710913911652514619,5.415412e-02,4.058092e-04,61,274,120,2
398,1.30877810525251183428445402498499345323796389718723402274918329618659712489490467535303963238858404257778520163790844922,5.334407e-02,8.100476e-04,58,282,116,0
400,1.30899127992342504892068897861041452120705195577458754699289237227146826316090194933353518586762182057644696023316761288,5.355724e-02,2.131747e-04,59,282,116,2
402,1.30932439600187005201510808514689842639499830042014189176968536291552400901030016018064041476814564321309069363940716271,5.389036e-02,3.331161e-04,60,282,120,0
404,1.31011015578299949467378767987832547433242247361248073942388728026540139053272938746478352382977269362937004905102744365,5.467612e-02,7.857598e-04,61,282,120,2
