a,d,sign,m,deg_P,n_factors,M_P,deg_smallest_factor,M_smallest_factor,in_db
2,5,-1,181,182,1,1.332339966016486242379484,182,1.332339966016486242379484,False
2,5,-1,183,184,1,1.334395563722341030197049,184,1.334395563722341030197049,False
2,5,-1,185,186,1,1.332119058415444526513420,186,1.332119058415444526513420,False
2,5,-1,187,188,1,1.335302459068960242726831,188,1.335302459068960242726831,False
2,5,-1,189,190,1,1.330679539430777716999517,190,1.330679539430777716999517,False
2,5,-1,191,192,2,1.334916201187760110923478,188,1.334916201187760110923478,False
2,5,-1,193,194,2,1.328696227940803466075812,190,1.328696227940803466075812,False
2,5,-1,195,196,1,1.333793326964557865184108,196,1.333793326964557865184108,False
2,5,-1,197,198,1,1.331317236730037839011074,198,1.331317236730037839011074,False
2,5,-1,199,200,1,1.332182241327109716777880,200,1.332182241327109716777880,False
2,5,-1,201,202,1,1.332601568631775596101756,202,1.332601568631775596101756,False
2,5,1,5,6,2,1.722083805739042245027069,4,1.722083805739042245027069,False
2,5,1,7,8,2,1.000000000000000000000000,0,100.0000000000000000000000,False
2,5,1,9,10,1,1.383636563406221078487916,10,1.383636563406221078487916,False
2,5,1,11,12,3,1.000000000000000000000000,0,100.0000000000000000000000,False
2,5,1,13,14,3,1.280638156267757596701903,8,1.280638156267757596701903,True
2,5,1,15,16,1,1.365994415871424637956286,16,1.365994415871424637956286,False
2,5,1,17,18,2,1.364086610384637847233969,16,1.364086610384637847233969,False
2,5,1,19,20,2,1.421472640020042322050216,18,1.421472640020042322050216,False
2,5,1,21,22,1,1.324306791626679244915444,22,1.324306791626679244915444,False
2,5,1,23,24,2,1.403477530474535379289349,22,1.403477530474535379289349,False
2,5,1,25,26,3,1.285787140644657033774062,18,1.285787140644657033774062,True
2,5,1,27,28,1,1.373585720769198482519611,28,1.373585720769198482519611,False
2,5,1,29,30,3,1.254142519161843162217518,22,1.254142519161843162217518,True
2,5,1,31,32,2,1.344075344252742241650932,30,1.344075344252742241650932,False
2,5,1,33,34,1,1.333781754401104447257417,34,1.333781754401104447257417,False
2,5,1,35,36,3,1.317624792686518231784723,30,1.317624792686518231784723,False
2,5,1,37,38,3,1.335429182853564927846950,32,1.335429182853564927846950,False
2,5,1,39,40,1,1.307580831486471138561904,40,1.307580831486471138561904,False
2,5,1,41,42,2,1.356943519810920383429644,40,1.356943519810920383429644,False
2,5,1,43,44,3,1.311150181229853318781295,36,1.311150181229853318781295,False
2,5,1,45,46,1,1.356335991210394391959114,46,1.356335991210394391959114,False
2,5,1,47,48,3,1.299950661446934708246426,40,1.299950661446934708246426,True
2,5,1,49,50,2,1.347071383679453340027259,48,1.347071383679453340027259,False
2,5,1,51,52,1,1.342111541298390658522400,52,1.342111541298390658522400,False
2,5,1,53,54,2,1.335017564332962441455912,52,1.335017564332962441455912,False
2,5,1,55,56,2,1.344896570665799544909386,54,1.344896570665799544909386,False
2,5,1,57,58,1,1.322190805340061136008643,58,1.322190805340061136008643,False
2,5,1,59,60,3,1.340424328434152955761524,54,1.340424328434152955761524,False
2,5,1,61,62,4,1.309456115596299821760696,50,1.309456115596299821760696,False
2,5,1,63,64,1,1.332949735968848142527867,64,1.332949735968848142527867,False
2,5,1,65,66,3,1.305646301619910397535452,58,1.305646301619910397535452,False
2,5,1,67,68,2,1.339785282983436248311368,66,1.339785282983436248311368,False
2,5,1,69,70,1,1.338261280436761214016619,70,1.338261280436761214016619,False
2,5,1,71,72,2,1.336889910451858216371750,70,1.336889910451858216371750,False
2,5,1,73,74,2,1.343959951117596209665257,72,1.343959951117596209665257,False
2,5,1,75,76,1,1.330646563009951736786397,76,1.330646563009951736786397,False
2,5,1,77,78,2,1.343065412934607899132327,76,1.343065412934607899132327,False
2,5,1,79,80,3,1.323084723636923943597586,72,1.323084723636923943597586,False
2,5,1,81,82,1,1.339147511995448297151373,82,1.339147511995448297151373,False
2,5,1,83,84,4,1.314983011510173698202122,72,1.314983011510173698202122,False
2,5,1,85,86,3,1.333641028380375297414756,80,1.333641028380375297414756,False
2,5,1,87,88,1,1.328779811482224682765058,88,1.328779811482224682765058,False
2,5,1,89,90,2,1.327281084762146285214447,88,1.327281084762146285214447,False
2,5,1,91,92,2,1.336630426410147418287402,90,1.336630426410147418287402,False
2,5,1,93,94,1,1.330583833483157216969182,94,1.330583833483157216969182,False
2,5,1,95,96,2,1.340720177745752198509354,94,1.340720177745752198509354,False
2,5,1,97,98,3,1.327654112254080695398240,90,1.327654112254080695398240,False
2,5,1,99,100,1,1.339911089905231059580558,100,1.339911089905231059580558,False
2,5,1,101,102,3,1.322927224722743288200253,94,1.322927224722743288200253,False
2,5,1,103,104,2,1.337011208754703169236716,102,1.337011208754703169236716,False
2,5,1,105,106,1,1.332618828325290274217416,106,1.332618828325290274217416,False
2,5,1,107,108,3,1.332945991816012911808039,102,1.332945991816012911808039,False
2,5,1,109,110,3,1.334948368009988947546667,104,1.334948368009988947546667,False
2,5,1,111,112,1,1.328191137459532388656312,112,1.328191137459532388656312,False
2,5,1,113,114,2,1.333861151326468137953671,112,1.333861151326468137953671,False
2,5,1,115,116,3,1.323029072850145296630812,108,1.323029072850145296630812,False
2,5,1,117,118,1,1.336151240636344552729507,118,1.336151240636344552729507,False
2,5,1,119,120,3,1.324967759474251176667289,112,1.324967759474251176667289,False
2,5,1,121,122,2,1.336710652830990729072521,120,1.336710652830990729072521,False
2,5,1,123,124,1,1.332921225526745446844013,124,1.332921225526745446844013,False
