N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
642,1.25528260581970422967711582724863196490075850099647179997473187234330149934308877473898702581648519946190488821607370261,1.514319e-04,3.529001e-04,44,554,88,0
644,1.25550740026371646476002874147740565448866807402673605794884533036089488935328183141371697368868752370529472412371148110,7.336254e-05,2.247944e-04,43,558,84,2
646,1.25562710944332550625505117862575108243849012880521285779739176817266115023602538618594956965705047705615174213700206867,1.930717e-04,1.197092e-04,44,558,88,0
648,1.25533114553644838804825004519482187893763708627934029680271867696979351546355671475389647408023353186939219495563133765,1.028922e-04,2.959639e-04,43,562,84,2
650,1.25569326346751714500931725558208737629638136895034313708591498903593824294581718423916945963149592077748857096436532554,2.592257e-04,3.621179e-04,44,562,88,0
652,1.25511621852862554432274434659347746142031977866063570139066546241856442795151872770727223546399708178385296485952583076,3.178192e-04,5.770449e-04,43,566,84,2
654,1.25565182181870380007798451071448106483479179711763826342929440096823311144923139205819582736216152469771100251830794274,2.177841e-04,5.356033e-04,44,566,88,0
656,1.25486899490712802823083669998646356852858543181295441117602245682433883139312970745198263529368785173656103807879854058,5.650428e-04,7.828269e-04,43,570,84,2
658,1.25554261484150756528389145370989573473749649563792980989849737294411233005516690270129349722982858694662104621901757774,1.085771e-04,6.736199e-04,44,570,88,0
660,1.25557455952297786229262636227605986484807277189575755640980255572290810293058757237808637730611609578959503236804474325,1.405218e-04,3.194468e-05,45,570,88,2
662,1.25538361684318368138090533940777160061400588624915944883699181122560668547057996311726515292936124806273568918695154751,5.042088e-05,1.909427e-04,44,574,88,0
664,1.25568026531770851364248101103320150173888652725200962425615004292398270700038678580108554377450002227121100025836106785,2.462276e-04,2.966485e-04,45,574,88,2
666,1.25518514484998988600262144051020476919812826059346752482165915042580223249758722900229333231574233780316618056798497760,2.488929e-04,4.951205e-04,44,578,88,0
668,1.25566245203508279184881074897737141272393696409375722025077397725996051266654384873074256180133149367378751125882097396,2.284143e-04,4.773072e-04,45,578,88,2
670,1.25495396130325745466737840495498857473351035787770658380484215625373090899006330938336192150744324661948915015443952571,4.800764e-04,7.084907e-04,44,582,88,0
